marital,education,balance,housing,loan,duration,campaign,previous,poutcome,deposit
married,secondary,2343.0,yes,no,1042.0,1.0,0.0,unknown,yes
married,secondary,45.0,no,no,1467.0,1.0,0.0,unknown,yes
married,secondary,1270.0,yes,no,1389.0,1.0,0.0,unknown,yes
married,tertiary,184.0,no,no,673.0,2.0,0.0,unknown,yes
single,tertiary,0.0,yes,yes,562.0,2.0,0.0,unknown,yes
married,tertiary,830.0,yes,yes,1201.0,1.0,0.0,unknown,yes
divorced,secondary,545.0,yes,no,1030.0,1.0,0.0,unknown,yes
married,secondary,1.0,yes,no,608.0,1.0,0.0,unknown,yes
single,secondary,5090.0,yes,no,1297.0,3.0,0.0,unknown,yes
single,secondary,100.0,yes,no,786.0,1.0,0.0,unknown,yes
married,secondary,309.0,yes,no,1574.0,2.0,0.0,unknown,yes
married,tertiary,199.0,yes,yes,1689.0,4.0,0.0,unknown,yes
single,tertiary,460.0,yes,no,1102.0,2.0,0.0,unknown,yes
single,tertiary,703.0,yes,no,943.0,2.0,0.0,unknown,yes
divorced,tertiary,3837.0,yes,no,1084.0,1.0,0.0,unknown,yes
single,primary,611.0,yes,no,541.0,3.0,0.0,unknown,yes
married,secondary,-8.0,yes,no,1119.0,1.0,0.0,unknown,yes
married,secondary,55.0,yes,no,1120.0,2.0,0.0,unknown,yes
divorced,secondary,168.0,yes,yes,513.0,1.0,0.0,unknown,yes
divorced,secondary,785.0,yes,no,442.0,2.0,0.0,unknown,yes
single,tertiary,2067.0,yes,no,756.0,1.0,0.0,unknown,yes
divorced,tertiary,388.0,yes,no,2087.0,2.0,0.0,unknown,yes
married,primary,-192.0,yes,no,1120.0,2.0,0.0,unknown,yes
single,secondary,381.0,yes,no,985.0,2.0,0.0,unknown,yes
single,secondary,40.0,yes,no,617.0,4.0,0.0,unknown,yes
single,tertiary,22.0,yes,no,483.0,3.0,0.0,unknown,yes
single,secondary,3.0,yes,no,929.0,3.0,0.0,unknown,yes
single,secondary,759.0,yes,no,710.0,1.0,0.0,unknown,yes
married,secondary,-1.0,yes,no,653.0,1.0,0.0,unknown,yes
married,primary,65.0,yes,no,1028.0,2.0,0.0,unknown,yes
single,secondary,82.0,yes,no,654.0,1.0,0.0,unknown,yes
married,secondary,10.0,yes,no,1692.0,2.0,0.0,unknown,yes
divorced,primary,390.0,yes,no,665.0,2.0,0.0,unknown,yes
single,tertiary,311.0,no,no,757.0,2.0,0.0,unknown,yes
married,primary,414.0,no,no,504.0,4.0,0.0,unknown,yes
divorced,secondary,5.0,yes,no,1346.0,1.0,0.0,unknown,yes
married,tertiary,119.0,yes,no,568.0,4.0,0.0,unknown,yes
single,primary,4.0,yes,no,395.0,2.0,0.0,unknown,yes
married,primary,1262.0,yes,yes,1015.0,1.0,0.0,unknown,yes
married,tertiary,1949.0,yes,no,683.0,2.0,0.0,unknown,yes
divorced,tertiary,-395.0,yes,no,470.0,1.0,0.0,unknown,yes
married,secondary,1165.0,yes,no,1001.0,4.0,0.0,unknown,yes
married,unknown,2240.0,yes,no,845.0,1.0,0.0,unknown,yes
divorced,primary,300.0,yes,no,945.0,2.0,0.0,unknown,yes
married,secondary,3285.0,yes,no,1721.0,2.0,0.0,unknown,yes
married,secondary,3923.0,yes,no,942.0,3.0,0.0,unknown,yes
divorced,primary,1443.0,yes,no,476.0,1.0,0.0,unknown,yes
divorced,primary,24.0,yes,no,832.0,1.0,0.0,unknown,yes
single,primary,1618.0,yes,no,1553.0,1.0,0.0,unknown,yes
divorced,tertiary,517.0,yes,yes,1328.0,1.0,0.0,unknown,yes
married,secondary,1521.0,yes,yes,1125.0,2.0,0.0,unknown,yes
married,secondary,2823.0,yes,no,858.0,1.0,0.0,unknown,yes
married,secondary,1535.0,yes,no,704.0,1.0,0.0,unknown,yes
married,primary,1542.0,yes,no,930.0,1.0,0.0,unknown,yes
single,unknown,3652.0,yes,no,1028.0,2.0,0.0,unknown,yes
married,tertiary,-1.0,no,no,850.0,2.0,0.0,unknown,yes
divorced,secondary,5291.0,yes,no,1423.0,3.0,0.0,unknown,yes
married,secondary,1384.0,yes,no,1162.0,4.0,0.0,unknown,yes
divorced,primary,-191.0,yes,no,755.0,1.0,0.0,unknown,yes
married,primary,320.0,yes,no,695.0,1.0,0.0,unknown,yes
married,unknown,146.0,yes,no,483.0,1.0,0.0,unknown,yes
married,primary,-9.0,yes,no,920.0,2.0,0.0,unknown,yes
married,primary,-306.0,yes,no,500.0,1.0,0.0,unknown,yes
married,tertiary,4580.0,yes,no,911.0,2.0,0.0,unknown,yes
single,primary,313.0,yes,no,920.0,2.0,0.0,unknown,yes
married,tertiary,10576.0,no,no,1224.0,2.0,0.0,unknown,yes
divorced,primary,-233.0,yes,no,1156.0,2.0,0.0,unknown,yes
married,primary,2453.0,yes,no,1052.0,1.0,0.0,unknown,yes
single,secondary,1364.0,yes,no,1867.0,6.0,0.0,unknown,yes
married,tertiary,94.0,yes,yes,813.0,1.0,0.0,unknown,yes
single,tertiary,144.0,yes,no,676.0,1.0,0.0,unknown,yes
married,secondary,246.0,yes,no,1143.0,3.0,0.0,unknown,yes
married,secondary,92.0,yes,no,688.0,1.0,0.0,unknown,yes
single,secondary,163.0,yes,yes,803.0,1.0,0.0,unknown,yes
divorced,secondary,49.0,yes,no,619.0,2.0,0.0,unknown,yes
single,secondary,-416.0,yes,no,767.0,2.0,0.0,unknown,yes
single,secondary,409.0,yes,no,912.0,1.0,0.0,unknown,yes
divorced,secondary,363.0,yes,no,1340.0,1.0,0.0,unknown,yes
single,tertiary,3706.0,yes,no,897.0,1.0,0.0,unknown,yes
single,tertiary,4393.0,yes,no,1297.0,3.0,0.0,unknown,yes
single,secondary,863.0,yes,no,1193.0,5.0,0.0,unknown,yes
married,primary,695.0,yes,yes,1064.0,4.0,0.0,unknown,yes
single,secondary,792.0,yes,no,1187.0,4.0,0.0,unknown,yes
single,secondary,1020.0,yes,no,882.0,1.0,0.0,unknown,yes
married,secondary,863.0,yes,no,943.0,2.0,0.0,unknown,yes
married,secondary,97.0,yes,no,607.0,1.0,0.0,unknown,yes
married,secondary,754.0,yes,no,1022.0,4.0,0.0,unknown,yes
divorced,secondary,1040.0,yes,no,552.0,3.0,0.0,unknown,yes
divorced,tertiary,122.0,yes,no,1622.0,2.0,0.0,unknown,yes
single,tertiary,880.0,yes,yes,967.0,6.0,0.0,unknown,yes
married,secondary,501.0,yes,no,579.0,5.0,0.0,unknown,yes
married,secondary,4438.0,yes,no,446.0,1.0,0.0,unknown,yes
divorced,secondary,0.0,yes,no,1205.0,1.0,0.0,unknown,yes
single,secondary,271.0,yes,no,1882.0,2.0,0.0,unknown,yes
married,primary,102.0,yes,no,1334.0,1.0,0.0,unknown,yes
