age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
59.0,admin.,married,secondary,no,2343.0,yes,no,unknown,5.0,may,1042.0,1.0,-1.0,0.0,unknown,yes
56.0,admin.,married,secondary,no,45.0,no,no,unknown,5.0,may,1467.0,1.0,-1.0,0.0,unknown,yes
41.0,technician,married,secondary,no,1270.0,yes,no,unknown,5.0,may,1389.0,1.0,-1.0,0.0,unknown,yes
55.0,services,married,secondary,no,2476.0,yes,no,unknown,5.0,may,579.0,1.0,-1.0,0.0,unknown,yes
54.0,admin.,married,tertiary,no,184.0,no,no,unknown,5.0,may,673.0,2.0,-1.0,0.0,unknown,yes
42.0,management,single,tertiary,no,0.0,yes,yes,unknown,5.0,may,562.0,2.0,-1.0,0.0,unknown,yes
56.0,management,married,tertiary,no,830.0,yes,yes,unknown,6.0,may,1201.0,1.0,-1.0,0.0,unknown,yes
60.0,retired,divorced,secondary,no,545.0,yes,no,unknown,6.0,may,1030.0,1.0,-1.0,0.0,unknown,yes
37.0,technician,married,secondary,no,1.0,yes,no,unknown,6.0,may,608.0,1.0,-1.0,0.0,unknown,yes
28.0,services,single,secondary,no,5090.0,yes,no,unknown,6.0,may,1297.0,3.0,-1.0,0.0,unknown,yes
38.0,admin.,single,secondary,no,100.0,yes,no,unknown,7.0,may,786.0,1.0,-1.0,0.0,unknown,yes
30.0,blue-collar,married,secondary,no,309.0,yes,no,unknown,7.0,may,1574.0,2.0,-1.0,0.0,unknown,yes
29.0,management,married,tertiary,no,199.0,yes,yes,unknown,7.0,may,1689.0,4.0,-1.0,0.0,unknown,yes
46.0,blue-collar,single,tertiary,no,460.0,yes,no,unknown,7.0,may,1102.0,2.0,-1.0,0.0,unknown,yes
31.0,technician,single,tertiary,no,703.0,yes,no,unknown,8.0,may,943.0,2.0,-1.0,0.0,unknown,yes
35.0,management,divorced,tertiary,no,3837.0,yes,no,unknown,8.0,may,1084.0,1.0,-1.0,0.0,unknown,yes
32.0,blue-collar,single,primary,no,611.0,yes,no,unknown,8.0,may,541.0,3.0,-1.0,0.0,unknown,yes
49.0,services,married,secondary,no,-8.0,yes,no,unknown,8.0,may,1119.0,1.0,-1.0,0.0,unknown,yes
41.0,admin.,married,secondary,no,55.0,yes,no,unknown,8.0,may,1120.0,2.0,-1.0,0.0,unknown,yes
49.0,admin.,divorced,secondary,no,168.0,yes,yes,unknown,8.0,may,513.0,1.0,-1.0,0.0,unknown,yes
28.0,admin.,divorced,secondary,no,785.0,yes,no,unknown,8.0,may,442.0,2.0,-1.0,0.0,unknown,yes
43.0,management,single,tertiary,no,2067.0,yes,no,unknown,8.0,may,756.0,1.0,-1.0,0.0,unknown,yes
