,CountryCode,GDP at market prices (current US$),CO2 emissions (kt),Mobile cellular subscriptions,"Life expectancy at birth, total (years)","Hospital beds (per 1,000 people)"
0,CSS,1917147689.8557198,5878.201,0.0,62.2717948419606,5.054265970578982
1,EAS,153050126353.118,1211359.01817297,0.0,48.2983166483242,4.29326730183205
2,EAP,80074430096.5749,854114.5771535559,0.0,45.549658223693,4.29326730183205
3,EMU,245378012622.69894,1128460.86943064,0.0,69.2737110112599,4.29326730183205
4,ECS,432682037753.436,6314.5740000000005,0.0,67.0300272167932,4.29326730183205
5,EUU,358916354898.276,2359869.70113928,0.0,69.2795439452043,4.29326730183205
6,HPC,17454259579.714,19481.4023207302,0.0,39.56408652440409,1.51562857678822
7,HIC,1125771200749.16,6832548.96656289,0.0,67.9914975626095,4.29326730183205
8,OEC,1043995974860.66,5668393.5355214,0.0,68.7315746449879,9.10560023284534
9,LCN,81126089549.918,294099.235834543,0.0,56.0433735350634,3.431279430012009
10,LAC,43725063679.2681,159976.542,0.0,54.3830733627441,2.9274017550469904
11,LMY,237984919920.325,1755963.47326626,0.0,45.8856701879045,4.29326730183205
12,LMC,92387267366.6458,349995.17335725896,0.0,45.648691933944995,0.712682398770328
13,MIC,225197706627.264,1726709.44536342,0.0,46.4240035362404,4.29326730183205
14,NAC,584477920198.99,3083748.982,0.0,69.89360375708999,8.92944373833657
15,OED,1071361911264.7,5729496.16745582,0.0,67.34396417183589,8.74710668292669
16,SAS,47688784649.065994,139487.691739442,0.0,41.960458497072295,0.50652654378417
17,SSF,29598028250.3718,124501.721968939,0.0,40.16967729848809,1.39763711935892
18,SSA,29595364875.0968,124475.76796805301,0.0,40.1734778285386,1.39197726432708
19,UMC,135212241759.531,1323391.02406587,0.0,47.13961067163711,4.29326730183205
20,WLD,1366615291769.51,9396705.835,0.0,52.49984193375551,4.29326730183205
21,AFG,537777811.911111,414.371,0.0,32.328512195122,0.17062699794769298
22,DZA,2723637614.73246,6160.56,0.0,46.1351219512195,3.18740749359131
23,AUS,18567588755.7397,88202.351,0.0,70.8170731707317,11.1999998092651
24,AUT,6592693841.18495,30821.135,0.0,68.5856097560976,10.8000001907349
25,BHS,169802257.755072,410.704,0.0,62.72904878048779,5.72566366195679
26,BGD,4274893913.46431,27498.099599999998,0.0,45.8293170731707,0.8882960885763165
27,BEL,11658722590.99,91000.272,0.0,69.70195121951221,7.947644965989242
28,BLZ,28072479.7840589,44.004,0.0,59.961365853658506,4.66776514053345
29,BEN,226195578.067006,161.34799999999998,0.0,37.2782682926829,1.22574877738953
30,BMU,84466654.0801544,157.681,0.0,70.45195121951221,7.69999980926514
31,BOL,563110051.920733,1004.758,0.0,42.11831707317071,1.8454192876815805
32,BWA,30411418.6788295,3096.4919999999997,0.0,50.54773170731711,2.12291669845581
33,BRA,15165569912.5199,46908.264,0.0,54.2054634146342,3.20179533958435
34,BFA,330442815.284328,44.004,0.0,34.4779024390244,0.5237581133842469
35,BDI,195999990.0,3096.4919999999997,0.0,41.23604878048779,1.12240731716156
36,KHM,637142865.7142861,234.688,0.0,41.2320243902439,0.746548891067505
37,CMR,618740961.944997,271.358,0.0,41.523756097561005,2.00226593017578
38,CAN,41093453544.9096,192895.201,0.0,71.1331707317073,6.199999809265139
39,CAF,112155598.309943,88.008,0.0,36.4826341463415,1.23142111301422
40,TCD,313582727.638108,55.005,0.0,38.0161219512195,0.697454333305359
41,CHL,4211737000.75892,13490.893,0.0,57.458292682926796,3.6742901802063
42,CHN,59184116488.9977,780726.302,0.0,43.4658048780488,4.820641202586033
43,COL,4040948304.7437296,16409.825,0.0,56.716756097560996,2.57554721832275
44,ZAR,3359404132.31797,2321.2110000000002,0.0,41.018048780487796,5.67403650283813
45,COG,131731862.568997,223.687,0.0,48.58163414634149,3.75708508491516
46,CRI,507516613.029641,491.37800000000004,0.0,60.5761951219512,4.7907772064209
47,CIV,546203558.4569651,462.042,0.0,36.872414634146295,1.34876954555511
48,DNK,6248946880.2777,29779.707000000002,0.0,72.1765853658537,7.947644965989242
49,DOM,672399700.0,1041.428,0.0,51.845268292682896,2.3286907672882102
50,ECU,1010325138.03016,1763.8270000000002,0.0,53.215,1.87069153785706
51,FJI,112334368.396772,194.351,0.0,55.958487804878104,4.04060935974121
52,FIN,5224102195.52771,15104.373,0.0,68.819756097561,7.947644965989242
53,FRA,62651474946.6007,271218.654,0.0,69.86829268292679,7.947644965989242
54,GAB,141468977.570007,132.012,0.0,39.5701219512195,5.71399164199829
55,GHA,1217230094.97205,1463.1329999999998,0.0,45.8314634146342,0.779893696308135
56,GRC,4446528164.67559,9405.855,0.0,68.1639024390244,5.800000190734861
57,GTM,1043599900.0,1345.789,0.0,45.531634146341496,2.6310875415802
58,GUY,170216238.857225,660.06,0.0,60.278731707317114,5.574692249298098
59,HND,335650000.0,616.056,0.0,46.2883170731707,1.64625132083893
60,HKG,1320799754.74012,2955.6020000000003,0.0,66.9997073170732,2.6403393745422403
61,ISL,248434096.968726,1213.777,0.0,73.4286585365854,9.80000019073486
62,IND,37679274491.2745,120581.961,0.0,41.1719512195122,0.458986908197403
63,IRN,4199134389.9037,37392.399,0.0,44.94551219512201,0.92567503452301
64,IRQ,1683918697.26662,8265.418,0.0,48.0306829268293,1.85803997516632
65,IRL,1939329775.4373894,11180.683,0.0,69.691756097561,7.947644965989242
66,ISR,2887222178.4523396,6468.588000000001,0.0,49.95594993581515,6.73793745040894
67,ITA,40385288344.1911,109357.274,0.0,69.1239024390244,8.89999961853027
68,JAM,699064351.69864,1470.467,0.0,64.19182926829271,4.145488262176509
69,JPN,44307342950.4,232781.16,0.0,67.6660975609756,9.0
70,KEN,791265458.813328,2427.554,0.0,46.3624146341463,1.25048005580902
71,KOR,3891849048.1743693,12552.141000000001,0.0,53.0013170731707,4.820641202586033
72,LSO,34579986.1818375,3096.4919999999997,0.0,46.51070731707321,1.1037204265594498
73,LBR,190495600.0,165.015,0.0,34.7831707317073,1.322425365448
74,LUX,703925705.942958,11518.046999999999,0.0,68.4463902439024,7.947644965989242
75,MDG,673081724.075966,399.70300000000003,0.0,39.974682926829296,2.4061858654022203
76,MWI,162960130.465802,3096.4919999999997,0.0,37.7736341463415,1.11873054504395
77,MYS,1916216984.2437198,47085.45344,0.0,59.4753414634146,3.72813272476196
78,MRT,92609222.69128492,36.67,0.0,43.4830975609756,0.20484359562397
79,MEX,13056164925.448,63116.404,0.0,57.065634146341495,3.996958747986825
80,MAR,2037154689.0444105,3641.3309999999997,0.0,48.446634146341495,1.5984001159668002
81,NPL,508334416.764741,80.67399999999999,0.0,35.1708292682927,0.115763798356056
82,NLD,12276734172.0828,73505.015,0.0,73.3926829268293,7.947644965989242
83,NZL,5485854791.970961,11543.716,0.0,71.2365853658537,11.6999998092651
84,NIC,227223322.141537,531.715,0.0,46.9988292682927,2.15823602676392
85,NER,449526872.56556106,29.336,0.0,35.515048780487795,0.409490883350372
86,NGA,4196174329.17504,3406.643,0.0,37.18295121951221,0.418167114257813
87,NOR,5163271598.1570215,13102.191,0.0,73.549756097561,7.947644965989242
88,PAK,3707055835.55051,14154.62,0.0,45.290463414634196,0.55726158618927
89,PAN,415800032.0,997.424,0.0,60.8817073170732,3.775310754776
90,PNG,230496032.972722,179.683,0.0,38.462243902439,4.820641202586033
91,PER,2503708500.5641,8173.743,0.0,47.6915853658537,2.411438941955569
92,PHL,6684685516.84328,8335.091,0.0,57.811926829268295,0.838957667350769
