,CountryCode,GDP at market prices (current US$),CO2 emissions (kt),Mobile cellular subscriptions,"Life expectancy at birth, total (years)","Hospital beds (per 1,000 people)"
0,CSS,1917147689.8557198,5878.201,0.0,62.2717948419606,5.054265970578982
1,EAS,153050126353.118,1211359.01817297,0.0,48.2983166483242,3.690647649765018
2,EAP,80074430096.5749,854114.5771535559,0.0,45.549658223693,3.690647649765018
3,EMU,245378012622.69894,1128460.86943064,0.0,69.2737110112599,3.690647649765018
4,ECS,432682037753.436,3633.9970000000003,0.0,67.0300272167932,3.690647649765018
5,EUU,358916354898.276,2359869.70113928,0.0,69.2795439452043,3.690647649765018
6,HPC,17454259579.714,19481.4023207302,0.0,39.56408652440409,1.51562857678822
7,HIC,1125771200749.16,6832548.96656289,0.0,67.9914975626095,3.690647649765018
8,OEC,1043995974860.66,5668393.5355214,0.0,68.7315746449879,9.10560023284534
9,LCN,81126089549.918,294099.235834543,0.0,56.0433735350634,3.431279430012009
10,LAC,43725063679.2681,159976.542,0.0,54.3830733627441,2.9274017550469904
11,LMY,237984919920.325,1755963.47326626,0.0,45.8856701879045,3.690647649765018
12,LMC,92387267366.6458,349995.17335725896,0.0,45.648691933944995,0.712682398770328
13,MIC,225197706627.264,1726709.44536342,0.0,46.4240035362404,3.690647649765018
14,NAC,584477920198.99,3083748.982,0.0,69.89360375708999,8.92944373833657
15,OED,1071361911264.7,5729496.16745582,0.0,67.34396417183589,8.74710668292669
16,SAS,47688784649.065994,139487.691739442,0.0,41.960458497072295,0.50652654378417
17,SSF,29598028250.3718,124501.721968939,0.0,40.16967729848809,1.39763711935892
18,SSA,29595364875.0968,124475.76796805301,0.0,40.1734778285386,1.39197726432708
19,UMC,135212241759.531,1323391.02406587,0.0,47.13961067163711,3.690647649765018
20,WLD,1366615291769.51,9396705.835,0.0,52.49984193375551,3.690647649765018
21,AFG,537777811.911111,414.371,0.0,32.328512195122,0.17062699794769298
22,DZA,2723637614.73246,6160.56,0.0,46.1351219512195,3.18740749359131
23,AUS,18567588755.7397,88202.351,0.0,70.8170731707317,11.1999998092651
24,AUT,6592693841.18495,30821.135,0.0,68.5856097560976,10.8000001907349
