,CountryCode,GDP at market prices (current US$),CO2 emissions (kt),Mobile cellular subscriptions,"Life expectancy at birth, total (years)","Hospital beds (per 1,000 people)"
0,ARB,2099995971087.53,1680300.074,312247800.0,70.0030169216615,3.38253024007593
1,CSS,59631397287.7986,68576.567,7935923.0,71.3849238773967,2.38099043276722
2,CEB,1311611508154.33,715050.332,128283178.0,75.29534872880002,6.497920741661191
3,EAS,16646691111277.7,12023440.4986598,1642129388.0,74.1318895358278,2.98531449161277
4,EAP,7816227560242.81,9559083.330464501,1389853100.0,73.1884378044482,2.9740294961255698
5,EMU,12641957099396.0,2494689.4359999998,391522613.0,80.74824622433609,5.740205035099831
6,ECS,20831863511016.4,6771582.26060869,1069477508.0,75.846929030925,5.002893765137401
7,ECA,1527933389148.85,1342906.99092126,253895529.0,71.5643786926977,3.38253024007593
8,EUU,16947621760665.5,3709379.519,597051965.0,79.7259224519391,5.45142932234384
9,FCS,592175877235.105,377984.7605835,168470468.0,60.6539816994586,3.38253024007593
10,HPC,463233135240.471,139155.316,235202000.0,58.648520635222,3.38253024007593
11,HIC,47393709061194.2,15363095.4778435,1579345300.0,78.42194586488279,3.38253024007593
12,NOC,4906408823450.61,3638816.57413967,473712830.0,72.7420528399043,3.38253024007593
13,OEC,42506359388177.3,11812195.405,1105632470.0,80.1363170174824,4.26311574694496
14,LCN,5374003913505.71,1733753.71621646,573251429.0,74.0285417513372,2.23774233596576
15,LAC,4105809840362.17,1177514.037,457708571.0,73.67941961717591,2.0333249839996497
16,LDC,635624259672.927,223656.837143005,283176889.0,61.3439895637901,3.38253024007593
17,LMY,18221882430405.6,16273077.2641477,3718424699.0,68.5139069451937,3.38253024007593
18,LIC,281379830859.226,145810.921,160819125.0,59.031931454800905,3.38253024007593
19,LMC,4530863564430.39,3866466.9101585997,1816623017.0,66.0680327772289,3.38253024007593
20,MEA,2736460934534.17,2304753.504,354183384.0,72.2467705797102,3.38253024007593
21,MNA,1359228221925.02,1286882.312,269787686.0,71.6895978762165,3.38253024007593
22,MIC,17938688391498.8,16127343.5757134,3557605574.0,69.5732617400599,3.38253024007593
23,NAC,16584130197731.3,5905450.477000001,311031600.0,78.7745030725575,2.97028829782431
24,OED,44287452881438.4,12555261.617,1258785598.0,79.39857718000441,3.84480866713077
25,OSS,81827449699.7367,29317.665,14837401.0,60.8012548080483,3.38253024007593
26,PSS,6364003444.65543,2452.01922172882,1181880.0,69.140025085848,3.38253024007593
27,SST,147822850432.191,100367.505961694,23955204.0,63.95432087255429,3.38253024007593
28,SAS,2093718920591.19,2197647.768,959743272.0,66.6880628804838,3.38253024007593
29,SSF,1336840906463.43,713656.872,387953418.0,56.336495038154,3.38253024007593
30,SSA,1323027224734.98,708288.3840000001,387436541.0,56.335066281927006,3.38253024007593
31,UMC,13407024989052.9,12260282.2776973,1740982557.0,73.72585771006409,3.15784282465026
32,WLD,65588167202195.4,33516380.0,5297769999.0,70.4711611033348,3.38253024007593
33,AFG,15936800636.2487,8470.77,13000000.0,58.970829268292704,0.4
34,ALB,11926953259.2629,4415.068,2692372.0,76.97851219512201,3.8022650165690317
35,DZA,161207268840.911,119276.509,32780165.0,73.80404878048779,3.8022650165690317
36,ADO,3346317328.52461,517.047,65495.0,61.40172541306059,5.619240555167195
37,AGO,83369475451.4682,29743.037,9403365.0,50.654170731707296,3.8022650165690317
38,ATG,1135539037.03704,524.381,167970.0,75.30878048780491,2.2
39,ARG,461640242696.171,179000.938,57082298.0,75.48497560975609,4.5
40,ARM,9260284937.797821,4217.05,3865354.0,74.2263414634146,3.38253024007593
41,ABW,2467703910.61453,2456.89,131800.0,74.95353658536591,5.619240555167195
42,AUS,1142250506474.06,368170.467,22500000.0,81.6951219512195,3.9
43,AUT,390235099337.748,67975.179,12241000.0,80.58048780487809,7.63
44,AZE,52902703376.1056,30678.122000000003,9100113.0,70.4502926829268,3.8022650165690317
45,BHS,7909580000.0,2464.224,428377.0,74.5923902439024,3.1
46,BHR,25713271276.5957,23252.447,1567000.0,76.1275609756098,5.619240555167195
47,BGD,115279077465.226,56152.77099999999,67923887.0,70.0802926829268,3.38253024007593
48,BRB,4445500000.0,1518.138,350061.0,74.8452926829268,6.6
49,BLR,55220932613.958,62221.655999999995,10332900.0,70.4048780487805,3.8022650165690317
50,BEL,483577483443.709,109093.25,12154041.0,80.2341463414634,6.5
51,BLZ,1397113450.0,553.717,194201.0,69.7820487804878,1.2
52,BEN,6970240895.4988785,5152.135,7074914.0,58.7297073170732,0.5
53,BMU,5744414000.0,476.71,88200.0,79.2885365853658,5.619240555167195
54,BTN,1585472534.10547,487.711,394316.0,67.8924146341463,3.38253024007593
55,BOL,19649631308.1648,15350.062,7179293.0,66.40775609756099,3.38253024007593
56,BIH,16846352248.103998,21147.589,3110233.0,75.8076829268293,3.5
57,BWA,12786662034.8563,5232.809,2363411.0,63.4022926829268,1.8
58,BRA,2209433265120.51,419754.156,196929978.0,73.2641463414634,2.4
59,BRN,12370616061.6062,8602.782,435104.0,77.5982682926829,5.619240555167195
60,BGR,49939168133.207,44128.678,10199942.0,73.5121951219512,6.5
61,BFA,8979966766.07232,1683.1529999999998,5707850.0,57.0513902439024,0.4
62,BDI,2026864469.3638802,194.351,1678029.0,54.8291951219512,1.2664759864027686
63,CPV,1664310769.55229,293.36,371871.0,72.59790243902441,2.1
64,KHM,11242275198.9783,4187.714,8150764.0,66.3856585365854,0.84
65,CMR,23622483983.7101,6706.943,8636652.0,53.6948292682927,1.3
66,CAN,1614013783731.31,496104.763,25825400.0,80.89348780487809,2.7
67,CAF,1986014845.6318398,264.024,979232.0,47.6253170731707,1.2664759864027686
68,TCD,10657705072.2884,517.047,2875304.0,49.862073170731705,1.2664759864027686
69,CHL,217538271334.738,72258.235,19852242.0,80.2758048780488,2.1
70,CHN,6039658508485.59,8256969.232000001,859003000.0,74.8850243902439,3.56
71,COL,287018184637.529,78583.81,44477653.0,73.2778536585366,3.8022650165690317
72,COM,516962886.786662,132.012,165278.0,61.830512195122004,1.2664759864027686
73,ZAR,20523285374.2311,3252.6290000000004,11820348.0,56.89614634146339,1.2664759864027686
74,COG,12007880590.4575,1925.175,3718748.0,59.1431219512195,3.38253024007593
75,CRI,36298327620.1953,7568.688,3128372.0,78.73604878048779,1.2
76,CIV,24884505034.5564,5885.535,15599044.0,50.1514634146342,3.38253024007593
77,HRV,59680624422.3702,20890.898999999998,4928352.0,76.4756097560976,5.62
78,CUB,64328200000.0,38360.487,1003015.0,78.9356341463415,5.9
79,CYP,25247424010.9811,7708.034000000001,1034071.0,79.3819512195122,3.52
80,CZE,207015860050.371,111168.772,12934100.0,77.42439024390251,7.01
81,DNK,319810991980.93896,46570.9,6420790.0,79.1,3.5
82,DJI,1128611700.3618,517.047,165613.0,60.3606829268293,1.4
83,DMA,493703703.703704,135.679,105567.0,54.79085210171251,3.8
84,DOM,53864484468.1226,21363.942000000003,8892783.0,72.7498048780488,1.6
85,ECU,69555367000.0,34249.78,14780730.0,75.02980487804881,1.6
86,EGY,218888324504.75305,204677.272,70661005.0,70.3402926829268,1.7
87,SLV,21418300000.0,6307.24,7700336.0,71.67060975609759,1.0
88,GNQ,12709498548.488998,4679.092000000001,399290.0,55.971000000000004,2.1
89,ERI,2117039510.7019398,513.38,185275.0,61.46614634146339,1.2664759864027686
90,EST,19494662251.6556,18338.667,1652809.0,75.4292682926829,5.33
91,ETH,29933790334.3418,6618.935,6854000.0,61.296121951219504,1.2664759864027686
92,FRO,2301178416.00619,630.724,59446.0,80.64390243902442,5.619240555167195
93,FJI,3140508835.9485,1294.451,697920.0,69.3843658536586,3.8022650165690317
94,FIN,247814569536.424,61843.955,8390000.0,79.87073170731709,5.85
95,FRA,2646994701986.75,357437.158,57785000.0,81.66341463414629,6.64
96,GAB,14358584300.3006,2244.2039999999997,1610000.0,62.1208292682927,6.3
97,GMB,952429031.316536,473.043,1478347.0,59.3406097560976,1.2664759864027686
